content_id,content,subject,sentiment_value
WPLv2wTS5mcbAyqC,起步 有点 顿   开 起来 动力 可以   上 八十 没 感觉起 步 有 点 顿   开 起 来 动 力 可 以   上 八 十 没 感 觉,动力,1
vgIJ8ONcH075WGUx,原配 胎 ， 国产 的 就 行 ， 价格 实惠 ， 性能 也 不差 。原 配 胎 ， 国 产 的 就 行 ， 价 格 实 惠 ， 性 能 也 不 差 。,操控/动力/价格,1
JzrKhfMcaYOG4Hu8,我 刚才 跟 4S 的 客服 妹纸 说 了 ， 她 也 很 惊讶 ， 让 我 中午 去 4S 抽掉 点 。 态度 还 不错 ， 不过 她 说 可能 是因为 发动机 润滑 没 清洗 的 关系 。 我 觉得 才 1.4 W 公里 就要 清洗 这个 玩意 了 ？我 刚 才 跟 4 S 的 客 服 妹 纸 说 了 ， 她 也 很 惊 讶 ， 让 我 中 午 去 4 S 抽 掉 点 。 态 度 还 不 错 ， 不 过 她 说 可 能 是 因 为 发 动 机 润 滑 没 清 洗 的 关 系 。 我 觉 得 才 1 . 4 W 公 里 就 要 清 洗 这 个 玩 意 了 ？,动力,0
RXuBdwerTtOCDWv8,这个 设计 还是 可以 的 ， 就是 不 知道 油耗 怎么样这 个 设 计 还 是 可 以 的 ， 就 是 不 知 道 油 耗 怎 么 样,油耗,0
wdg1KOSMFa9X02Co,那 机油 能 退后 换油 周期 但是 机滤 估计 难以 撑 到 吧 ？那 机 油 能 退 后 换 油 周 期 但 是 机 滤 估 计 难 以 撑 到 吧 ？,动力,0
tHKxYq1RMEayCV4n,试驾 了 森林 人 ， 也 看 了 新款 XV ， 还是 大家 的 观点 ， 对 空间 比较 敏感 就 选 森林 人 ， 对 配置 （ 尤其 是 eyesight ） 感冒 的 就 选 XV 了 ， 真 不用 纠结 的试 驾 了 森 林 人 ， 也 看 了 新 款 X V ， 还 是 大 家 的 观 点 ， 对 空 间 比 较 敏 感 就 选 森 林 人 ， 对 配 置 （ 尤 其 是 e y e s i g h t ） 感 冒 的 就 选 X V 了 ， 真 不 用 纠 结 的,空间/配置,0
z7LUMKNPVj5vH8yb,一个 进口 ， 一个 合资 ， 一个 全时 四驱 ， 一个 适时 四驱 ， 森 的 安全性 要 好些 ， 马自达 性价比 高 ， 但 后排 没森 宽敞 ， 操控 都 差不多 ， 看 你 怎么 取舍 了 ， 我 也 纠结 过 这 两款 ， 选森 是因为 风水 ， 现在 不 后悔一 个 进 口 ， 一 个 合 资 ， 一 个 全 时 四 驱 ， 一 个 适 时 四 驱 ， 森 的 安 全 性 要 好 些 ， 马 自 达 性 价 比 高 ， 但 后 排 没 森 宽 敞 ， 操 控 都 差 不 多 ， 看 你 怎 么 取 舍 了 ， 我 也 纠 结 过 这 两 款 ， 选 森 是 因 为 风 水 ， 现 在 不 后 悔,空间/操控/安全性,1
TxSWgOcVif6m7jkL,同年同月 的 车 ， 我 感觉 还好 啊 ， 没 你 说 的 那么 夸张 。 我 做 了 个 四门 隔音 。 底盘 什么 的 都 没 做 。 噪音 有 ， 不 夸张 。同 年 同 月 的 车 ， 我 感 觉 还 好 啊 ， 没 你 说 的 那 么 夸 张 。 我 做 了 个 四 门 隔 音 。 底 盘 什 么 的 都 没 做 。 噪 音 有 ， 不 夸 张 。,舒适性/操控,0
iQw1TA29dznOD54c,是 的 建议 你 检查 轮胎 ， 刹车盘 ， 还有 下摆 臂是 的 建 议 你 检 查 轮 胎 ， 刹 车 盘 ， 还 有 下 摆 臂,安全性,0
7qNcklSBRGzPwXA1,大连 价格 咋样 ， 我 可以 去 大连 买 ， 有 亲戚 在 那边大 连 价 格 咋 样 ， 我 可 以 去 大 连 买 ， 有 亲 戚 在 那 边,价格,0
SBICdrczEx3gL7Jq,多 了 很多 实用性 配置 ， 而且 是 全系 标配多 了 很 多 实 用 性 配 置 ， 而 且 是 全 系 标 配,配置,1
7kpDUFjOvVIxqJ6b,森 的 空间 是 足够 用 了 ， 但 内饰 可能 会 超乎 你 想象 的 低档 ， 还是 建议 去 试试 车 ， 再 多 看看 论坛 的 精华帖 、 口碑 评论 。森 的 空 间 是 足 够 用 了 ， 但 内 饰 可 能 会 超 乎 你 想 象 的 低 档 ， 还 是 建 议 去 试 试 车 ， 再 多 看 看 论 坛 的 精 华 帖 、 口 碑 评 论 。,内饰/空间,1
QLxygAEOUfIpZnV3,两车 都 不 太 合适 ， 2.0 森 动力 和 2.5 平时 都 够用 ， 但 跑 高原 可能 费劲 点 ， 山路 加速 超车 费劲 点 。 不过 2.0 在 西藏 也 能 跑 ， 不 从容 罢了 。 不 后悔 的话 联系 上 2.5 豪华 。两 车 都 不 太 合 适 ， 2 . 0 森 动 力 和 2 . 5 平 时 都 够 用 ， 但 跑 高 原 可 能 费 劲 点 ， 山 路 加 速 超 车 费 劲 点 。 不 过 2 . 0 在 西 藏 也 能 跑 ， 不 从 容 罢 了 。 不 后 悔 的 话 联 系 上 2 . 5 豪 华 。,动力,0
U4VGF72yZBRxgDcm,群里 都 说 油耗 10 个 以内 ， 一点 不 信 ， 我 也 12 多点群 里 都 说 油 耗 1 0 个 以 内 ， 一 点 不 信 ， 我 也 1 2 多 点,油耗,0
MIpGHlEmJ5Xz7qsN,看 你 个人 咯   觉得 需要 一键 启动   肯定 就是 特装 性价比 高   比较 还有 一个 电动 尾门 ， 我 选择 豪华版   因为 我 个人 喜欢 钥匙 ， 不 喜欢 一键 启动 的   还有 电动 尾门 实在 太慢 ， 内饰 更是 选择 黑色 ， 刚刚 好 符合 我 的 标准 ， 就是 我 老婆 想要 电动 尾门 。看 你 个 人 咯   觉 得 需 要 一 键 启 动   肯 定 就 是 特 装 性 价 比 高   比 较 还 有 一 个 电 动 尾 门 ， 我 选 择 豪 华 版   因 为 我 个 人 喜 欢 钥 匙 ， 不 喜 欢 一 键 启 动 的   还 有 电 动 尾 门 实 在 太 慢 ， 内 饰 更 是 选 择 黑 色 ， 刚 刚 好 符 合 我 的 标 准 ， 就 是 我 老 婆 想 要 电 动 尾 门 。,配置/内饰,1
1BYpO9FsgkmWLNQu,平常心 吧 ， 我 本来 想买傲 虎 ， 优惠 不 大 ， 钱 不够 ， 改提 森林 人 ， 6 月 提 尊贵 优惠 1.4 w ， 到 了 9 月 做 活动 森林 人 全系 2w ， 傲虎 全系 3w ， 我 ......平 常 心 吧 ， 我 本 来 想 买 傲 虎 ， 优 惠 不 大 ， 钱 不 够 ， 改 提 森 林 人 ， 6 月 提 尊 贵 优 惠 1 . 4 w ， 到 了 9 月 做 活 动 森 林 人 全 系 2 w ， 傲 虎 全 系 3 w ， 我 . . . . . .,价格,0
nE7z0Uc3WfPGIY9p,导航 换 不如 一个 手机 ， 我 就 装 了 CD机 。 原来 的 就 看看 倒车 影像 。导 航 换 不 如 一 个 手 机 ， 我 就 装 了 C D 机 。 原 来 的 就 看 看 倒 车 影 像 。,配置,0
zNFsBQAO1vId7pKG,雷车 2013 年 后 改款 了 ， 那个 前脸 改 的 太 好看 ， 再 看 这个 10 款 觉得 挺 丑 。 要 不 我 就 小森 再 开 一两年 ， 那时 换个 13 款 以后 的 雷车   ？雷 车 2 0 1 3 年 后 改 款 了 ， 那 个 前 脸 改 的 太 好 看 ， 再 看 这 个 1 0 款 觉 得 挺 丑 。 要 不 我 就 小 森 再 开 一 两 年 ， 那 时 换 个 1 3 款 以 后 的 雷 车   ？,外观,-1
