content_id,content,subject,sentiment_value
aK2XzWwj5F4CZpdu,新 一 代 鹰 眼 2 . 0 的 会 不 会 有 ， 还 有 后 排 出 风 口,空间,0
Uc9IzntusbSgmEdv,这 个 价 格 ， 买 到 成 色 这 么 好 的 S E   已 经 很 值 了 ， 只 要 车 没 有 什 么 问 题 ， 算 捡 漏 了 。 我 一 直 在 找 ， 浙 江 落 户 要 国 5   ， 只 用 浙 江 里 的 才 可 以 落 户 ， 这 个 车 我 看 到 过 ， 淄 博 的 应 该 ，,价格,1
v9eGfIKLJPtSDrMz,这 油 耗 有 点 高 了 ， 你 应 该 查 查 ！,油耗,0
Ph8CjnSfG0XWl1zD,终 于 可 以 体 现 我 全 时 四 驱 了 ， 呵 呵 ！,操控,0
LMIN9mtDXKzs2SEA,我 家 手 动 老 福 ， 堵 车 均 速 1 2 、 1 3 的 时 候 ， 表 显 油 耗 干 到 过 1 9 个 ， 要 赶 上 霸 道 了 。 老 福 克 斯 1 . 8 的 发 动 机 太 老 了 ， 没 有 可 变 正 时 ， 低 转 扭 矩 很 差 还 费 油,油耗,-1
WYSZLRAfNVr1Jcbs,试 着 索 赔 中 缸 吧 ， 1 3 、 1 4 年 的 车 烧 机 油 的 概 率 大 ， 这 个 不 是 损 耗 的 问 题 ， 趁 着 脱 保 时 间 不 长 ， 还 有 机 会,动力,0
mcnsEPFTqH4DVgLX,爱 国 者 ？ 跪 舔 三 菱 淘 汰 发 动 机 的 爱 国 者,动力,0
m1z4GB5IL2WfKyjM,也 不 是 没 有 可 能 ， 因 为 这 次 经 销 商 主 要 反 的 就 是 价 格 太 高 了 ， 2 . 0 应 该 是 价 格 可 以 做 得 低 些 ， 再 搞 个 混 动 价 格 估 计 和 原 来 2 . 5 也 差 不 多 吧 ， 低 配 应 该 能 便 宜 些 ， 总 得 有 点 改 变 嘛 ！ 不 过 ， 日 本 为 啥 现 在 没 2 . 0 了 呢 ， 看 来 都 动 力 升 级 了 。,价格/动力,0
HfXqWVsS1TDhwk2l,底 盘 确 实 结 实 了 ， 高 速 也 稳 稳 的 。 但 是 不 平 的 路 有 点 硬 有 点 颠,操控,0
lPpMYaT04hSvqe3V,在 开 了 两 千 公 里 之 后 ， 我 认 为 是 换 了 车 之 后 操 控 习 惯 及 方 向 盘 手 感 不 同 ， 以 及 心 理 暗 示 的 问 题 。 现 在 习 惯 之 后 感 觉 没 问 题 。 谢 谢 大 家 ? ?,操控,0
