content_id,content,subject,sentiment_value
Mf0pA5qQC4LnIYN6,你 的 车行 一千公里 烧 多少 机油,动力,0
GdnJ6HU9fbIqp4XO,为什么 我 觉得 电尾门 好 鸡肋 ？ 开关 太慢 ， 每次 洗车 都 要 跟 小工 交代 不洗 后备箱 ， 怕 他们 用力 开关 搞 烂掉,空间,0
9C8ohYfqvs03VMOi,仔细 想 了 一下 ， 新 美孚 0w30 非常适合 318 线 进藏 。 进藏 途中 高速公路 长时间 高转速 ， 高 海拔 的 高山 爬坡 需要 长时间 高转速 ； 上 到 海拔 4000 - 5000 米 的 时候 温度 低 ， 需要 低温 流动性 ， 0 比 5 更 合适 。 下坡 到 谷底 的 时候 气温 升高 30 比 20 更 合适 。 进藏 自驾 的 人 以 安全 去 安全 回 为首 要 目标 ， 计较 油耗 的 人会少 很多 。 所以 以后 进藏 新 美孚 一号 就是 标配 了,动力/油耗,0
OzCDdI38Ys51Goye,女儿 是 农学 专业   以后 田间 地头 的 . 底盘 加强 件 用 的 上 。,操控,0
1BYpO9FsgkmWLNQu,平常心 吧 ， 我 本来 想买傲 虎 ， 优惠 不 大 ， 钱 不够 ， 改提 森林 人 ， 6 月 提 尊贵 优惠 1.4 w ， 到 了 9 月 做 活动 森林 人 全系 2w ， 傲虎 全系 3w ， 我 ......,价格,0
VC0wDIiqny4pfQ6B,老 司机 ， 真的 刹车 开关 的 问题,安全性,0
lNmO6e78ptbndGFf,森 的 方向盘 确实 傻   X ， 号称 所谓 的 灵敏 ， 高架 高速 上 真的 需要 一直 微调 。 。 。 。,操控,-1
5HiSjb49o1e7VUYA,FB2.0 正在 用 ， 跑 2000 多公里 了 ， 市区 走街 高速 运动 感觉 不错 ， 噪音 低,舒适性,1
hkNTDRYOPWmUg6Xa,嗯 我 也 觉得 价格 可以 。 这 几天 很多 保险公司 一直 打电话 大多 都 是 这个 价格 贵点 4000 多点 ， 便宜 点 3800 还有 送点 东西,价格,1
sP1Nqeb0C82DRgOw,车 和 我 的 一样 ， 前 几天 卖 了 10.5 ， 把 改装 的 金 B 刹车 和 BBS 轮毂 都 拿 下来 了,安全性,0
5xB3ctyLS6sgfOMT,什么 价格 拿 下来 的   我 的 7.6 万,价格,0
V7IbnJ2Wzds6fGZo,优惠 4 - 5W 然后 加上 免费 更换 全 车 油水 可以 考虑 购买 。 否则 建议 还是 不要 贪 这个 便宜 了 。,价格,0
cQMprOv27lxbZ1Vh,16 款 的   尊贵 导航 版   现金 只 给 优惠 9000   我 河北 邯郸,配置,0
hao9B5Up4QEsfACM,这能 看得出来 吗 ？ 你 经常 发生 晃动 ？ 我 是 偶尔 会 这样 ， 不 知道 怎么 让 其他人 能 感受 到 这种 晃动 ， 晃动 的 声响 很 微弱 的 ， 而且 不 一定 一定 能 试出来,舒适性,0
3iUsvfm07upXKDn6,我 记得 不是 很 清楚 排量 了 ， 作为 中薪 价层 还是 小众车 没 那么 引人注目   ， 我 的 是 16 款 。,价格,0
rAvBTN1hj3tSLJH6,这 两款 车型 根本 没有 可比性 ， 一个 非 承载 式 车身 ， 一个 承载 式 车身 。 我 觉得 森林 人 定位 就是 城市 suv 兼顾 跑跑 轻度 烂路 ， 越野 耐 艹 是 H5 ， 公路 性能 森林 人 。,外观/操控/动力,1
dgoN4IiZw5Xh7leu,硬 ， 舒适性 降低 ， 其实 本来 舒适性 就 不 咋 地 。,舒适性,-1
fonlWtHuzhk3Pe6O,加 92 足够 了 ， 森林 人 不 挑油 。 断电 以后 电动 座椅 可以 调节,油耗,0
cdkKhmQNil7OW2vX,15 款 2.5 特 装版 ， 行驶 30000 公里 ， 第一个 10000 平均 油耗 10.2 ， 第二个 10000 公里 平均 油耗 8.8 ， 第三个 10000 公里 平均 油耗 9.0 ， 总体而言 与 B 级 轿车 相当 。 市区 10 - 12 ， 看 拥堵 程度 ， 高速 6.0 - 8.0 ， 看 速度 及 地形 ， 平原 高速 100 码 6.0 ， 山区 7.0,油耗,0
h21bAUM9xN7Iopdz,减去 我 加装 的 东西 ， 和 按揭 利息 的话 是 ， 二十六 万 六千 ， 这个 价格 算贵 的 吗,价格,0
3SnKtsjVhOEQYwe4,还是 可以 的 ， 这个 还 需要 自己 去 4S店 问问 价格 ， 在 对比 一下 ， 然后 看车 商城 的 购买 流程 ， 希望 可以 提到 自己 满意 的 车 ， http : / / club . autohome . com . cn / bbs / thread - c - 2139 - 65789395 - 1 . html 麻烦 站 用 你 一分钟 ， 打开 链接 投 一下 6 号 ， 谢谢,价格,0
xiEaQusMpZePr7m1,操控 好 的 车 比 他 越野 能力差 ， 越野 能力 好 的 比 他 操控 差 。 森林 人 基本 就是 这个 样子 。,操控,0
GLp8t9HWq6IbFy4v,这车 有 手动 模式 的 。 档杆 在 D 档时 往 左 就 换 入手 动 了 ， 当然 可以 锁定 1 档 ， 但 速度 快时 还 得 要 踩 一下 刹车 ， 长 下坡 跟 在 大车 后面 时 一定 要 用 手动 。,安全性,0
GDwBchnHrNkd7TyE,哦 ， 不会 是 发动机 吧 ， 斯巴鲁 森林 人 都 会 有 这种 情况 吗 ， 我 是 小白,动力,0
N7OkqmnzUXaFYJtA,应该 是 打开 暖风 时 空调 风机 的 声音 ， 我 的 也 有 ， 暂时 还 没有 处理 办法 ~,舒适性,0
5EbALXgIUQcWH1dB,能 上 2.5 还是 选择 2.5 呗 ， 动力 强劲 点 没什么 ， 但是 动力 弱 了 开车 的 时候 该 郁闷 了 。,动力,0
3BhjFS4gGKHPpYef,海拔 2700 米 以上 动力 差别 明显 。 因为 高原 是 涡轮 的 天下 。 城镇 红绿灯 密集 的 地方 有 涡轮 又 如何 ？,动力,0
