content_id,content,subject,sentiment_value
FX0L83QSABd1Ixkf,开 了 八年 ， 九万 七千 公里 ， 没换 ， 没 任何 不妥 。 这个 东西 只要 不 影响 供油 就 不 需要 换 。 平时 可以 使用 些 汽油 添加剂 ， 有 清洗 油路 和 除积 碳 的 功能 ， 很棒 。开 了 八 年 ， 九 万 七 千 公 里 ， 没 换 ， 没 任 何 不 妥 。 这 个 东 西 只 要 不 影 响 供 油 就 不 需 要 换 。 平 时 可 以 使 用 些 汽 油 添 加 剂 ， 有 清 洗 油 路 和 除 积 碳 的 功 能 ， 很 棒 。,舒适性,0
HZLKQuRoDtidBO9E,个人感觉 ：   动力   -   95 好 一点 。 区别 更大 的 是 95 的 油门 踩下去 感觉 更 细腻 ， 92 感觉 就 有点 糙 。 有 一次 高速 上 没 92 和 95 ， 只能 加 98 ， 感觉                       和 95 区别 不 大 。   油耗   -   没 感觉 到 有 什么 区别   考虑 到 成本 ， 我 一般 都 加 92 。个 人 感 觉 ：   动 力   -   9 5 好 一 点 。 区 别 更 大 的 是 9 5 的 油 门 踩 下 去 感 觉 更 细 腻 ， 9 2 感 觉 就 有 点 糙 。 有 一 次 高 速 上 没 9 2 和 9 5 ， 只 能 加 9 8 ， 感 觉                       和 9 5 区 别 不 大 。   油 耗   -   没 感 觉 到 有 什 么 区 别   考 虑 到 成 本 ， 我 一 般 都 加 9 2 。,油耗,0
agOf123TKVuH4bq9,2.0   还是 2.5   很 重要 吗 ？ 2.0 就 肯定 比 2.5 慢 ？ 你 咋 知道 那个 2.0 是 多少 马力 的 ？ brz 的   200 马力 2.0 发动机 不 也 是 斯巴鲁 做 出来 的 吗 ？ 森林 人 2.5 才 171 马力 。 不能 光看 数据 ， 要 实际 驾驶2 . 0   还 是 2 . 5   很 重 要 吗 ？ 2 . 0 就 肯 定 比 2 . 5 慢 ？ 你 咋 知 道 那 个 2 . 0 是 多 少 马 力 的 ？ b r z 的   2 0 0 马 力 2 . 0 发 动 机 不 也 是 斯 巴 鲁 做 出 来 的 吗 ？ 森 林 人 2 . 5 才 1 7 1 马 力 。 不 能 光 看 数 据 ， 要 实 际 驾 驶,动力,0
2WiLCHJSUadlR8PI,我换 了 米其林 3ST ， 静音 效果 非常 好 （ 感觉 像是 换 了 辆车 ） ， 但 动力 性能比 原厂 胎 有点 降低 。 楼 主要 取舍 下 。我 换 了 米 其 林 3 S T ， 静 音 效 果 非 常 好 （ 感 觉 像 是 换 了 辆 车 ） ， 但 动 力 性 能 比 原 厂 胎 有 点 降 低 。 楼 主 要 取 舍 下 。,动力,-1
NfcHYR3u1FDQOS95,也 不 越个 野 ， 只是 觉得 这款 挺 好看 的 性能 也 不错 ， 就是 一 听说 烧 机油 有点 心凉也 不 越 个 野 ， 只 是 觉 得 这 款 挺 好 看 的 性 能 也 不 错 ， 就 是 一 听 说 烧 机 油 有 点 心 凉,操控/动力,0
4Uea2SNGQpgu65rW,4S店 没有 给出 任何 价格 信息 ， 他们 连 版本 和 配置 信息 还 没有 拿到 。 不过 国家 降低 进口关税 是 对 整个 市场 面 的 政策 影响 ， 斯巴鲁 也 不会 置若罔闻 、 无动于衷 的 ， 毕竟 国内 乘用车 市场 的 竞争 已经 日趋激烈 … …4 S 店 没 有 给 出 任 何 价 格 信 息 ， 他 们 连 版 本 和 配 置 信 息 还 没 有 拿 到 。 不 过 国 家 降 低 进 口 关 税 是 对 整 个 市 场 面 的 政 策 影 响 ， 斯 巴 鲁 也 不 会 置 若 罔 闻 、 无 动 于 衷 的 ， 毕 竟 国 内 乘 用 车 市 场 的 竞 争 已 经 日 趋 激 烈 … …,价格,0
d9qBiMljgxu7vo4E,什么 导航 问题 ， 是 整个 屏 一套 都 不行什 么 导 航 问 题 ， 是 整 个 屏 一 套 都 不 行,配置,-1
Cwel1caXT0RHxF7M,NX 内饰 比 森林 人 豪华 ， 行驶 舒适感 比 森林 人高 ， 森林 人偏 干活 型 的 ， 视线 非常 霍亮 ， 不 挑油 ， 好 养活 ， 就是 异响 比较烦 ， 森 的 顶配 只能 买 NX 的 低配 ， NX 的 顶配 落地 都 要 60 万 了 。 看 自己 需求N X 内 饰 比 森 林 人 豪 华 ， 行 驶 舒 适 感 比 森 林 人 高 ， 森 林 人 偏 干 活 型 的 ， 视 线 非 常 霍 亮 ， 不 挑 油 ， 好 养 活 ， 就 是 异 响 比 较 烦 ， 森 的 顶 配 只 能 买 N X 的 低 配 ， N X 的 顶 配 落 地 都 要 6 0 万 了 。 看 自 己 需 求,舒适性,1
RxjhuqvenpZ2soX0,是 的 ， 我 的 也 一样 。   不是 说 水平 对置 发动机 会稳 和 安静 吗 ？是 的 ， 我 的 也 一 样 。   不 是 说 水 平 对 置 发 动 机 会 稳 和 安 静 吗 ？,动力,0
vpaS3ueRQi2rhAgH,一看 就 知道 山寨 的 ！ 用 的 肯定 是 中控 的 普通 视频 输入 接口 而已 ， 这种 无屏 的 记录仪 淘宝 也 就 一 两百块 的 东西 ， 4s 赚 死 了 ！一 看 就 知 道 山 寨 的 ！ 用 的 肯 定 是 中 控 的 普 通 视 频 输 入 接 口 而 已 ， 这 种 无 屏 的 记 录 仪 淘 宝 也 就 一 两 百 块 的 东 西 ， 4 s 赚 死 了 ！,配置,-1
MQf2bEkslR0gwjnc,换 金麒麟 陶瓷 刹车片 ， 掉 粉 很少换 金 麒 麟 陶 瓷 刹 车 片 ， 掉 粉 很 少,安全性,0
IgBNLUGabY7yRlTp,大众 论坛 这么 凶 吗 。 如果 按 这个 标准 很多 森林 人 也 不 叫 烧 机油 吧大 众 论 坛 这 么 凶 吗 。 如 果 按 这 个 标 准 很 多 森 林 人 也 不 叫 烧 机 油 吧,动力,0
eZokz49suLbt7DdV,建议 原厂 胎 。 耐用 。 at 会 增加 油耗 跟 胎噪 。 这车 的 定位 是 轻度 越野 。 原厂 胎 的 性 能够 用 了 。建 议 原 厂 胎 。 耐 用 。 a t 会 增 加 油 耗 跟 胎 噪 。 这 车 的 定 位 是 轻 度 越 野 。 原 厂 胎 的 性 能 够 用 了 。,油耗/操控,0
B3iPGhNsqevd0Xg9,那么 ， 你 一直 说 他们 卖车 。 请问 所谓 的 三个 卖 森林 人 的 ， 我 想 知道 你们 在 哪 卖 ？ 有 优惠 吗 ？ 可以 异地 吗 ？ 这个 问题 估计 很多 待 购车 友想 知道 。 反问 ， 你们 卖 欧蓝德 吗 ？ 便宜 多少 ？ 在 哪 卖 ？那 么 ， 你 一 直 说 他 们 卖 车 。 请 问 所 谓 的 三 个 卖 森 林 人 的 ， 我 想 知 道 你 们 在 哪 卖 ？ 有 优 惠 吗 ？ 可 以 异 地 吗 ？ 这 个 问 题 估 计 很 多 待 购 车 友 想 知 道 。 反 问 ， 你 们 卖 欧 蓝 德 吗 ？ 便 宜 多 少 ？ 在 哪 卖 ？,价格,0
5je6w3aHtsETP4xF,你 这个 思想 放 前些年 可能 有点 道理 ， 但 现在 完全 不是 了 。 现在 的 SUV 加速 操控 都 不弱 ， 并 不是 原来 那样 的 。你 这 个 思 想 放 前 些 年 可 能 有 点 道 理 ， 但 现 在 完 全 不 是 了 。 现 在 的 S U V 加 速 操 控 都 不 弱 ， 并 不 是 原 来 那 样 的 。,操控/动力,0
iKBXc4Vh1vpYnjIQ,看 公里 ， 车况 好 在 10 万左右 。 零件 很 贵 ， 在 外面 保养 也 便宜 ， 我 11 年 的 手动 ， 18 万公里 ， 7.5 万 。 有过 事故 ， 但 发变 完好 ， 回来 换 了 全车 油 ， 底盘 胶套 ， 刹车盘 ， 刹车片 ， 减震 ， 减震 弹簧 。 。 。 。 全部 费用 在 1 万左右 吧看 公 里 ， 车 况 好 在 1 0 万 左 右 。 零 件 很 贵 ， 在 外 面 保 养 也 便 宜 ， 我 1 1 年 的 手 动 ， 1 8 万 公 里 ， 7 . 5 万 。 有 过 事 故 ， 但 发 变 完 好 ， 回 来 换 了 全 车 油 ， 底 盘 胶 套 ， 刹 车 盘 ， 刹 车 片 ， 减 震 ， 减 震 弹 簧 。 。 。 。 全 部 费 用 在 1 万 左 右 吧,操控/安全性,0
WjSvN1LtXZgKTOp6,全系 森林 人 都 是 2.0 的 动力 专供 中国 市场 ？ 我 真想 说 ： 太阳 ? ！全 系 森 林 人 都 是 2 . 0 的 动 力 专 供 中 国 市 场 ？ 我 真 想 说 ： 太 阳 ? ！,动力,0
Nuf9r0KqPo7lp6Mk,2.0 手动 １ ３ . ４ 的 油耗 。2 . 0 手 动 １ ３ . ４ 的 油 耗 。,油耗,0
JWEQKSqFU4vaoYxN,带个 行里 的 朋友 验验车 ， 10 年 的 好 车况 。 北京 大概 也 要 10 万   了 ， 08 - 09 没 注意 价格 。带 个 行 里 的 朋 友 验 验 车 ， 1 0 年 的 好 车 况 。 北 京 大 概 也 要 1 0 万   了 ， 0 8 - 0 9 没 注 意 价 格 。,价格,0
